CPValue	Delta T

-10	100
0.512821	0.263158
1.02564	0.263158
1.53846	0.263158
2.05128	0.263158
2.5641	0.263158
3.07692	0.263158
3.58974	0.263158
4.10256	0.263158
4.61538	0.263158
5.12821	0.263158
5.64103	0.263158
6.15385	0.263158
6.66667	0.263158
7.17949	0.263158
7.69231	0.263158
8.20513	0.263158
8.71795	0.263158
9.23077	0.263158
9.74359	0.263158
10.2564	0.263158
10.7692	0.263158
11.2821	0.263158
11.7949	0.263158
12.3077	0.263158
12.8205	0.263158
13.3333	0.263158
13.8462	0.263158
14.359	0.263158
14.8718	0.263158
15.3846	0.263158
15.8974	0.263158
16.4103	0.263158
16.9231	0.263158
17.4359	0.263158
17.9487	0.263158
18.4615	0.263158
18.9744	0.263158
19.4872	0.263158
20	100
